sound,RUS_0_callout_cardinal_e
sound,RUS_0_callout_cardinal_n
sound,RUS_0_callout_cardinal_ne
sound,RUS_0_callout_cardinal_nw
sound,RUS_0_callout_cardinal_s
sound,RUS_0_callout_cardinal_se
sound,RUS_0_callout_cardinal_sw
sound,RUS_0_callout_cardinal_w
sound,RUS_0_callout_contactclock_1
sound,RUS_0_callout_contactclock_10
sound,RUS_0_callout_contactclock_11
sound,RUS_0_callout_contactclock_12
sound,RUS_0_callout_contactclock_2
sound,RUS_0_callout_contactclock_3
sound,RUS_0_callout_contactclock_4
sound,RUS_0_callout_contactclock_5
sound,RUS_0_callout_contactclock_6
sound,RUS_0_callout_contactclock_7
sound,RUS_0_callout_contactclock_8
sound,RUS_0_callout_contactclock_9
sound,RUS_0_callout_targetclock_1
sound,RUS_0_callout_targetclock_10
sound,RUS_0_callout_targetclock_11
sound,RUS_0_callout_targetclock_12
sound,RUS_0_callout_targetclock_2
sound,RUS_0_callout_targetclock_3
sound,RUS_0_callout_targetclock_4
sound,RUS_0_callout_targetclock_5
sound,RUS_0_callout_targetclock_6
sound,RUS_0_callout_targetclock_7
sound,RUS_0_callout_targetclock_8
sound,RUS_0_callout_targetclock_9
sound,RUS_0_callout_yourclock_1
sound,RUS_0_callout_yourclock_10
sound,RUS_0_callout_yourclock_11
sound,RUS_0_callout_yourclock_12
sound,RUS_0_callout_yourclock_2
sound,RUS_0_callout_yourclock_3
sound,RUS_0_callout_yourclock_4
sound,RUS_0_callout_yourclock_5
sound,RUS_0_callout_yourclock_6
sound,RUS_0_callout_yourclock_7
sound,RUS_0_callout_yourclock_8
sound,RUS_0_callout_yourclock_9
sound,RUS_0_co_cardinal_e_01_d
sound,RUS_0_co_cardinal_ne_01_d
sound,RUS_0_co_cardinal_nw_01_d
sound,RUS_0_co_cardinal_n_01_d
sound,RUS_0_co_cardinal_se_01_d
sound,RUS_0_co_cardinal_sw_01_d
sound,RUS_0_co_cardinal_s_01_d
sound,RUS_0_co_cardinal_w_01_d
sound,RUS_0_co_contactclock_10_01_d
sound,RUS_0_co_contactclock_11_01_d
sound,RUS_0_co_contactclock_12_01_d
sound,RUS_0_co_contactclock_1_01_d
